# word  v-f  v-m  v-l  v-o 
resolve 6809 1077 2740 2280
p 664 8120 3549 481
editor 0 6998 5812 0
bytes 0 2320 10478 0
port 122 2475 9985 102
children 0 2700 9906 0
reference 549 4827 7091 90
replace 7028 1491 1018 3004
token 0 5009 7518 0
window 0 7154 5367 0
access 900 7881 3484 204
role 0 5721 6696 0
project 368 7009 4794 144
refresh 5951 1102 766 4494
visible 0 3442 8779 0
uri 100 1480 10557 69
n 2223 6758 2080 1086
system 0 9402 2677 0
null 0 6296 5708 0
fire 10137 594 171 1044
ui 239 3080 8593 29
tear 11674 232 0 0
notify 7240 731 2904 970
match 2263 3206 3000 3337
body 0 3074 8719 0
directory 0 2977 8798 0
renderer 0 7255 4464 0
expression 215 2740 8511 224
template 0 5005 6611 0
prepare 8664 460 182 2309
boolean 0 4141 7455 0
statement 0 2317 9275 0
buffer 371 4747 6304 164
control 535 5541 5336 85
impl 1190 1247 8870 186
elements 0 1963 9486 0
perform 7378 396 452 3146
evaluate 3807 265 290 6949
category 0 5046 6256 0
offset 343 1789 9005 156
variable 0 5695 5581 0
fields 0 1462 9756 0
param 1607 4448 4984 118
comment 218 2600 7353 925
lookup 4807 2671 1157 2428
destroy 2487 532 972 7030
bar 67 3648 7076 174
i 2069 7254 1522 107
response 0 4409 6543 0
d 727 4515 5441 193
or 350 8813 772 935
interface 428 3673 6700 24
use 2721 6483 1166 428
e 7079 1965 1679 74
iterator 0 1208 9560 0
dir 247 2122 8202 171
client 0 7631 3012 0
decode 5082 648 1017 3832
enter 7552 811 1562 568
transaction 0 5978 4416 0
select 0 6904 3469 0
debug 2415 2664 2067 3100
package 494 4962 4721 44
transform 1996 1075 3135 4007
xget 10212 0 0 0
xset 10201 0 0 0
tab 0 6824 3309 0
box 294 3669 5909 145
background 0 4250 5751 0
assert 8319 1123 311 196
files 0 2115 7791 0
begin 4378 2839 1519 1117
tool 389 8002 1319 56
dispose 1076 324 782 7575
vector 483 4374 4844 42
prefix 219 1245 8091 181
bounds 0 1580 8080 0
java 1039 7830 739 14
valid 0 6363 3238 0
items 0 1646 7886 0
function 513 3581 5026 401
calculate 7379 360 72 1695
s 1229 2863 1555 3857
task 0 4827 4664 0
compute 7943 327 53 1150
literal 0 6642 2797 0
host 674 3626 5039 86
extract 5204 533 104 3550
active 0 6344 3034 0
gl 8484 764 125 0
release 3371 1386 663 3932
thread 690 3803 4803 50
keys 0 2614 6683 0
return 2567 5486 1130 46
listeners 0 299 8923 0
pane 0 1419 7794 0
help 622 3953 3654 882
leave 7450 667 528 428
namespace 143 4533 4201 154
member 0 5008 4000 0
connect 2026 1331 950 4698
right 0 5108 3808 0
collection 0 3955 4944 0
configuration 0 2693 6185 0
standard 0 8556 313 0
contents 0 713 8129 0
account 216 4945 3595 20
stack 500 5600 2268 384
rule 273 3223 5096 129
sequence 376 3593 4667 82
pattern 233 1862 6537 86
nodes 0 1452 7208 0
dump 4116 425 595 3522
trace 985 1420 4886 1366
space 146 4260 4130 111
empty 0 5695 2927 0
domain 0 5285 3331 0
options 119 1331 6986 165
unit 0 4801 3734 0
option 358 3407 4519 169
internal 0 4642 3769 0
descriptor 60 1320 6912 73
total 0 6683 1681 0
push 4534 1109 328 2391
desc 32 2109 6128 81
login 467 3404 2987 1447
container 0 2448 5808 0
if 1009 6315 888 32
unmarshaller 0 115 3124 5003
scale 955 2229 3853 1177
schema 0 4251 3957 0
flush 2125 600 646 4803
database 0 4797 3371 0
export 4173 2186 952 851
join 1020 4292 1497 1281
preferred 0 7951 68 0
popup 1351 3732 2758 124
extension 121 2361 5378 68
cancel 2319 1774 1117 2712
mouse 0 7525 372 0
equals 0 2178 5716 0
verify 4569 858 386 2080
focus 646 3303 3648 250
graph 0 3539 4306 0
import 4202 2081 1501 57
step 794 2210 3440 1389
email 195 3348 4253 25
definition 87 2248 5398 72
meta 291 6579 835 67
feature 221 4315 3117 48
exit 2397 1355 2298 1614
commit 1617 1111 1848 3080
modify 4568 1524 366 1190
folder 0 3208 4408 0
proxy 0 4302 3312 0
columns 0 1563 6046 0
application 0 5373 2233 0
edge 562 3032 3914 98
sample 291 5244 1860 203
matrix 0 4415 3152 0
flag 138 747 6636 38
product 141 5468 1837 111
objects 0 1643 5893 0
b 394 4323 2585 218
bind 1953 1586 742 3209
mark 2712 2000 1484 1252
actions 0 596 6828 0
pre 4768 2353 183 74
area 0 2306 5058 0
finalize 410 66 109 6741
top 0 4848 2428 0
script 318 3064 3817 65
security 0 6714 526 0
owner 0 3009 4226 0
lock 1086 1743 2934 1426
gui 276 2217 4669 25
simple 0 6005 1164 0
plugin 263 4476 2418 11
left 0 4830 2292 0
locale 0 1673 5417 0
configure 3146 489 351 3049
f 438 1898 3614 1080
language 0 2086 4913 0
condition 127 1469 5219 164
receive 3367 1611 466 1516
drop 1940 3041 798 1176
modified 0 3990 2938 0
encoding 77 1098 5697 52
drag 4104 1976 697 143
full 0 6519 391 0
retrieve 5833 393 190 493
fetch 3350 2641 354 547
operation 0 2791 4066 0
initial 0 6375 454 0
main 0 5967 852 0
auto 0 6629 188 0
identifier 0 1528 5285 0
part 254 3170 3325 58
settings 0 1403 5386 0
minimum 0 5220 1565 0
timeout 117 902 5626 134
raw 0 6101 673 0
my 3256 3506 0 0
rows 0 1142 5587 0
non 600 6082 13 0
var 282 3269 3037 99
open 0 4345 2201 0
eval 2459 595 197 3291
one 0 4864 1673 0
integer 0 3158 3376 0
enable 3511 1602 644 763
encoded 0 3137 3354 0
after 0 4175 2302 0
doc 617 3772 1934 154
queue 542 2972 2831 129
channel 0 2946 3512 0
module 0 3222 3233 0
job 0 3728 2683 0
results 0 1726 4671 0
activate 1707 323 2520 1813
maximum 0 4655 1706 0
op 333 3268 2435 292
expr 168 576 5356 185
populate 4763 328 108 1083
external 0 3295 2983 0
only 0 1999 4277 0
day 0 3301 2972 0
lines 0 1258 4940 0
timestamp 132 822 5184 58
character 0 4795 1385 0
exec 1272 972 489 3377
pos 230 1811 3872 176
params 97 647 5228 98
gen 3774 1080 473 722
install 4129 683 222 993
msg 433 1790 3510 265
remote 0 5231 753 0
word 293 2556 3042 59
dummy 0 545 5402 0
close 0 2971 2954 0
activity 0 3394 2437 0
shape 117 1960 3682 65
events 0 1058 4724 0
re 5039 501 216 26
loader 0 941 4839 0
history 0 2802 2956 0
site 0 1675 4079 0
contact 119 3823 1786 14
subject 112 2124 3457 39
adapter 0 994 4737 0
wait 2996 1343 1151 226
stats 77 2576 2981 73
constraint 0 2899 2806 0
translate 2633 457 207 2399
increment 2008 664 2135 857
accessible 0 5332 322 0
cursor 379 2100 3094 73
case 0 2660 2986 0
single 0 5081 555 0
pop 2784 897 396 1541
constructor 0 2203 3398 0
annotation 0 2898 2697 0
ids 12 663 4117 801
validator 0 457 5118 0
provider 0 1495 4075 0
attr 211 3511 1754 87
reader 0 1199 4336 0
def 335 2218 2943 38
agent 0 3211 2311 0
scroll 1329 3337 663 191
resources 0 790 4729 0
interval 0 1597 3919 0
progress 301 2768 2210 216
rate 91 1397 3956 47
groups 0 1257 4234 0
signature 0 1385 4103 0
has 0 5429 33 0
const 145 1574 3703 12
classes 0 911 4516 0
writer 0 834 4591 0
axis 0 3677 1704 0
construct 2942 346 419 1666
v 196 3482 1633 61
back 243 2270 2179 665
undo 1024 1469 482 2353
static 0 4546 732 0
split 1669 1640 598 1357
enum 1131 1564 1798 727
compile 2177 623 346 2064
pool 111 2467 2587 29
shutdown 954 388 488 3359
instruction 0 830 4354 0
custom 0 4647 522 0
ad 19 5068 79 0
arg 207 2274 2571 108
section 182 2213 2604 159
ok 1012 1158 2307 681
messages 41 946 4044 126
scope 0 1418 3734 0
skip 2453 676 322 1696
grid 0 3399 1745 0
screen 213 2329 2582 14
merge 2245 948 372 1512
series 0 3679 1397 0
home 0 2633 2399 0
constant 0 2650 2376 0
atom 0 3284 1725 0
work 282 2567 1824 317
calc 4023 575 199 188
unique 0 4256 698 0
transfer 1128 2800 738 265
profile 178 2025 2674 50
restore 3186 614 219 891
click 473 1545 2654 233
this 613 1697 1413 1164
assign 2049 627 595 1612
expand 2581 740 569 964
exp 157 2488 1899 258
available 0 3547 1247 0
dfa 0 29 4756 0
mail 166 3103 1498 13
entries 0 813 3964 0
price 38 1936 2776 22
typed 215 906 3651 0
val 511 861 3332 65
term 276 1687 2555 229
player 0 2551 2185 0
month 0 1773 2941 0
global 0 4177 533 0
symbol 0 1705 3002 0
distance 475 1049 2459 716
scan 2485 1189 453 572
chart 118 2072 2466 28
required 0 3137 1522 0
year 0 1231 3413 0
priority 0 998 3604 0
limit 243 1150 3039 165
center 1081 1140 1853 500
vertex 0 2988 1567 0
app 183 2813 1537 12
public 0 3893 645 0
tip 13 3139 1354 20
before 0 2273 2252 0
parser 0 1283 3229 0
descriptors 0 121 4361 14
include 869 2253 842 514
str 652 1114 2514 197
users 0 1292 3164 0
policy 0 1551 2899 0
socket 0 1758 2678 0
servlet 63 3703 640 12
alignment 0 1342 3061 0
tick 184 2740 493 961
binary 0 3278 1089 0
country 0 2158 2199 0
stroke 40 1037 3250 30
game 0 2564 1791 0
cmd 2449 671 1211 21
filename 0 514 3837 0
operator 0 1395 2941 0
args 55 605 3588 83
multi 522 3483 257 59
jb 4151 124 36 0
cim 69 4235 0 0
eat 4180 14 14 66
println 159 26 138 3944
direction 0 532 3725 0
emit 3629 64 28 510
schedule 1180 1155 1197 694
alias 0 1077 3147 0
per 0 4045 171 0
creation 0 3265 949 0
pair 50 737 3314 109
methods 0 537 3642 0
note 339 1489 2247 101
logger 0 760 3410 0
identity 0 1313 2857 0
environment 0 1196 2951 0
t 506 2292 1206 131
created 0 2883 1233 0
rect 92 605 3367 36
driver 0 2280 1816 0
underlying 0 3995 57 0
constraints 0 390 3660 0
layer 97 1400 2499 34
ip 143 2072 1798 12
username 25 338 3611 30
processing 1479 1066 1432 25
web 141 3687 157 0
previous 0 3078 907 0
invalid 0 3208 767 0
details 0 948 3006 0
ibm 0 3946 0 0
bundle 56 1387 2485 14
ds 299 805 2837 0
points 0 598 3342 0
sync 1213 1270 882 567
swig 1243 112 2572 0
notification 0 2074 1852 0
col 151 2154 1597 23
flags 0 517 3404 0
duration 0 1196 2716 0
amount 83 838 2915 76
program 125 2582 1166 33
combo 282 2654 963 0
track 356 1943 1495 80
cleanup 708 91 330 2736
dao 12 511 3337 0
trigger 1060 1327 1289 168
detail 78 1883 1802 79
information 0 1215 2618 0
person 0 2293 1531 0
argument 0 1616 2194 0
controller 0 946 2863 0
random 0 2985 821 0
named 0 3543 263 0
rename 1987 455 328 1031
align 399 565 2614 216
repository 0 1720 2067 0
mapping 0 1893 1888 0
implementation 0 1385 2390 0
zoom 1188 1448 757 378
wrap 1066 745 715 1230
fail 1148 867 1232 508
roles 0 769 2984 0
destination 0 1997 1742 0
weight 186 915 2560 76
bottom 88 2073 1442 131
define 2390 817 116 410
currency 0 1832 1875 0
mask 165 725 2744 73
protocol 0 1505 2196 0
expect 3425 103 20 146
escape 1276 1025 746 644
download 849 1671 831 334
company 0 2592 1090 0
decimal 0 1212 2461 0
calendar 0 1748 1923 0
metadata 0 1584 2084 0
changed 0 2452 1214 0
device 0 1928 1728 0
region 0 1826 1827 0
workflow 104 2826 672 45
defaults 0 183 3464 0
switch 1566 997 1036 42
locator 0 419 3216 0
l 584 1286 1330 433
states 0 386 3242 0
vertical 0 3105 514 0
dispatch 1976 443 271 918
wrapper 0 780 2826 0
swap 1229 763 340 1236
summary 0 1284 2279 0
complex 0 3104 457 0
period 0 1571 1990 0
ensure 3374 82 0 104
supported 0 3244 312 0
ext 906 918 1726 0
arguments 0 289 3260 0
ast 72 1894 1563 11
reload 1326 265 253 1694
errors 39 612 2833 45
adjust 2900 260 177 189
buttons 0 794 2728 0
separator 0 622 2898 0
usage 0 1070 2433 0
mime 77 3178 239 0
depth 0 710 2767 0
preferences 0 623 2849 0
play 1102 873 364 1125
packet 0 1101 2362 0
meth 0 3450 0 0
jspx 3444 0 0 0
permission 0 1183 2254 0
tables 0 565 2872 0
variables 0 433 2993 0
real 0 2793 633 0
z 184 1595 1592 55
super 0 3050 375 0
where 178 1564 1602 78
relation 0 1898 1521 0
ur 39 3366 11 0
card 0 1715 1693 0
topic 0 1958 1449 0
angle 104 926 2243 134
indent 335 791 1690 582
q 123 2217 1016 35
horizontal 0 2880 507 0
pk 67 1083 2225 10
auth 113 2371 866 33
disconnect 719 317 324 2022
reply 273 1386 1450 265
other 0 2590 760 0
spec 41 1019 2223 65
it 0 281 3059 0
complete 0 1129 2200 0
peer 139 1467 1720 0
score 158 576 2291 295
http 255 2780 279 0
structure 44 1307 1923 36
algorithm 0 1227 2081 0
segment 125 1715 1373 89
normalize 1259 156 218 1654
allow 1282 1717 91 193
prop 177 1972 1098 34
foreground 0 724 2555 0
ignore 504 2225 370 180
validation 0 2075 1191 0
big 0 3153 112 0
head 515 781 1741 225
relative 0 2783 477 0
prev 730 1672 427 417
reverse 1008 711 433 1091
criteria 0 939 2303 0
dimension 0 1074 2166 0
h 413 1699 883 242
labels 0 779 2453 0
catalog 119 1359 1723 29
tags 0 443 2786 0
registry 0 1198 2025 0
hide 1570 745 150 756
batch 0 1858 1355 0
jar 0 1996 1203 0
generic 0 2210 984 0
multiple 0 2525 649 0
widget 0 1357 1801 0
any 0 2034 1120 0
dataset 24 1063 2066 0
cast 1201 683 628 639
look 466 1962 181 542
un 1852 1029 267 0
admin 123 2133 875 13
memory 0 1598 1545 0
seq 133 1921 955 131
equal 0 1282 1855 0
collect 2390 230 107 408
phone 30 1285 1809 0
headers 0 192 2903 23
scene 0 2438 680 0
delay 55 517 2374 171
generator 0 560 2551 0
anchor 109 1344 1587 68
actual 0 2622 482 0
storage 0 2137 959 0
payment 0 2503 586 0
factor 22 332 2661 72
go 1483 457 115 1031
g 312 1861 719 194
cost 86 896 1958 138
author 24 979 1991 82
services 0 837 2232 0
hex 774 1162 897 230
private 0 2446 614 0
insets 0 49 3010 0
resize 1070 524 525 926
old 0 2546 495 0
pass 384 1235 1186 216
forward 0 1513 1500 0
zip 342 1414 1151 105
delegate 275 480 1408 847
jjt 3007 0 0 0
margin 0 1397 1605 0
redo 370 552 263 1816
basic 0 2433 558 0
pixel 0 1472 1499 0
units 0 659 2306 0
timer 0 1142 1822 0
library 0 1809 1150 0
records 0 490 2466 0
features 0 417 2538 0
force 1219 997 604 124
suffix 46 284 2531 79
outline 78 2076 697 88
ptr 30 363 2526 18
obj 193 1196 1536 11
peek 1565 50 79 1230
alt 70 1941 887 24
declaration 0 529 2391 0
leg 0 2746 167 0
extra 0 2199 710 0
jdbc 246 2492 169 0
clause 0 596 2310 0
try 2215 464 201 24
well 0 2847 37 0
media 0 2041 838 0
unregister 2150 81 46 600
creator 0 1513 1355 0
related 0 2715 153 0
fixed 0 2384 484 0
sf 1367 1426 74 0
portlet 0 2629 228 0
u 263 1825 691 75
tile 295 1619 900 39
rules 0 501 2351 0
exists 0 438 2411 0
clip 354 969 1308 212
over 0 877 1955 0
po 0 385 2446 0
serializer 0 151 2660 12
instances 0 456 2366 0
two 0 2209 612 0
links 0 499 2319 0
zone 49 894 1857 15
temp 140 2251 399 22
quote 418 1307 760 326
highlight 446 1242 880 243
acct 0 1008 1802 0
into 0 1572 1238 0
src 53 1331 1404 18
sender 0 1850 955 0
second 0 1681 1116 0
caret 0 2216 577 0
texture 132 1693 968 0
references 0 386 2390 0
original 0 2348 423 0
orientation 79 370 2290 29
without 0 2693 71 0
native 0 2031 730 0
decl 33 569 2135 24
modifier 93 1263 1339 63
engine 0 1207 1550 0
comments 0 326 2427 0
bound 0 1306 1446 0
city 0 733 2016 0
nx 2577 137 34 0
self 0 1465 1276 0
nr 81 813 1836 0
chars 0 243 2482 0
serialization 1199 153 1373 0
attach 1479 511 180 554
primitive 0 1778 946 0
ws 1490 940 289 0
fix 1740 581 277 120
members 0 796 1920 0
sum 329 828 1101 449
builder 0 440 2266 0
monitor 210 1030 1314 152
capacity 0 227 2471 0
nested 0 2551 142 0
wf 15 2563 113 0
rotate 861 430 215 1181
strings 0 274 2412 0
inner 0 2396 290 0
callback 135 671 1486 393
business 105 2446 132 0
normal 0 1921 762 0
formed 0 2678 0 0
free 0 2012 664 0
loop 147 858 1407 260
used 0 1824 843 0
binding 0 1531 1121 0
permissions 0 433 2216 0
dtd 26 1249 1367 0
support 170 734 1698 40
percent 0 1318 1321 0
absolute 0 2340 297 0
span 98 631 1863 41
resolver 13 208 2388 19
changes 0 350 2267 0
processor 28 944 1630 15
pointer 0 995 1619 0
execution 0 1781 820 0
upload 508 1399 498 193
fragment 44 933 1575 45
extensions 28 248 2265 45
transition 0 1199 1382 0
material 0 1788 788 0
lang 29 852 1676 18
customer 0 1568 982 0
party 0 2069 478 0
matches 0 456 2089 0
when 516 1630 365 32
contains 0 1411 1122 0
helper 0 637 1895 0
connections 0 297 2232 0
toggle 1693 583 113 140
edges 0 398 2127 0
speed 45 481 1964 28
href 0 306 2190 22
viewer 0 834 1680 0
procedure 0 1788 720 0
updated 0 1109 1395 0
dom 316 1167 1006 15
plot 397 1038 891 168
scheme 40 725 1712 16
pages 0 368 2122 0
common 0 2054 426 0
dynamic 0 2220 257 0
chain 87 824 1361 204
break 547 1111 797 19
padding 16 762 1659 30
editable 0 518 1947 0
resume 809 469 346 834
footer 0 654 1804 0
passivate 135 16 2182 122
oid 40 431 1771 206
failure 0 841 1598 0
certificate 0 1138 1297 0
ea 0 79 111 2236
disabled 0 1212 1213 0
flow 58 1624 716 23
bit 0 1847 573 0
arc 163 1032 1179 38
inverse 0 1680 728 0
mod 447 774 749 437
invalidate 1435 56 56 858
additional 0 2316 85 0
direct 0 1835 562 0
can 0 2391 0 0
coord 49 1550 736 55
issue 191 1188 1010 0
branch 165 1064 1068 80
selector 0 804 1573 0
choice 0 1032 1339 0
pause 758 315 376 921
polygon 0 978 1386 0
tex 171 2140 51 0
days 0 981 1378 0
marker 0 825 1531 0
uninstall 1904 69 27 354
categories 0 325 2023 0
cluster 118 1527 660 42
issuer 0 1317 1027 0
throw 1394 557 355 38
runtime 105 1651 563 21
confirm 811 943 354 229
blob 0 666 1671 0
bits 0 625 1708 0
abstract 0 1574 759 0
upper 0 1967 359 0
deserializer 0 53 2267 0
amt 0 452 1844 21
patch 251 833 1098 133
repaint 647 130 258 1279
shift 809 699 492 311
qualified 0 2274 36 0
counter 0 810 1498 0
comparator 0 211 2096 0
controls 0 238 2067 0
submit 583 860 477 377
warn 260 242 223 1571
getn 2289 0 0 0
hit 364 914 636 371
del 1465 519 161 140
zero 0 1170 1112 0
audio 0 1946 336 0
env 60 1501 680 33
true 0 910 1362 0
kind 0 512 1758 0
conn 1637 283 309 40
predicate 66 596 1484 120
graphics 30 839 1396 0
multiply 460 215 229 1361
attachment 0 1114 1149 0
initialise 799 12 50 1401
strategy 0 409 1853 0
week 0 977 1284 0
deleted 0 936 1321 0
sign 273 709 703 568
ascii 180 1543 493 33
theme 0 951 1283 0
enumerate 1960 14 17 241
clear 0 1282 950 0
sheet 0 1035 1197 0
gtk 2213 18 0 0
dn 24 232 1973 0
same 0 1856 371 0
qty 0 685 1524 15
preference 0 1015 1208 0
digest 135 753 990 343
eq 694 568 403 554
expected 0 1843 373 0
paths 0 312 1902 0
keyword 0 701 1509 0
dirty 0 890 1311 0
composite 0 1143 1058 0
asset 0 1807 392 0
infos 0 908 1290 0
cut 584 567 312 724
final 0 1170 1015 0
quantity 0 485 1697 0
mk 2045 135 0 0
filters 0 245 1935 0
ccid 0 0 2176 0
images 0 471 1703 0
cookie 0 732 1434 0
tokens 0 512 1650 0
about 418 919 588 237
choose 1570 280 138 172
colors 0 227 1932 0
preview 223 1052 736 146
concept 0 1200 957 0
association 0 1370 786 0
statistics 45 511 1544 50
legend 0 1460 689 0
tasks 0 549 1597 0
lower 0 1682 462 0
upd 63 2053 27 0
persistent 0 1688 455 0
encrypt 767 173 212 985
measure 194 1047 688 207
ns 59 530 1543 0
abort 655 201 322 953
divide 524 249 197 1160
allowed 0 1329 799 0
determine 2008 116 0 0
master 64 1393 662 0
samples 0 995 1119 0
len 11 403 1547 148
converter 0 556 1552 0
hyperlink 784 1013 278 28
keywords 0 212 1886 0
persistence 0 1629 468 0
partner 0 1642 452 0
notes 0 298 1796 0
redirect 377 762 788 166
the 0 2075 0 0
metrics 0 294 1781 0
virtual 0 1912 161 0
missing 140 1606 312 13
dot 172 816 810 272
diff 213 789 798 269
principal 0 520 1547 0
w 149 1003 849 66
dependencies 0 185 1856 23
subtract 367 96 177 1420
volume 0 724 1333 0
instantiate 847 129 76 1004
scrollable 0 2011 44 0
alpha 0 787 1266 0
special 0 1648 399 0
network 93 1304 650 0
rotation 0 894 1151 0
inc 1155 296 317 272
observer 0 219 1821 0
pixels 0 261 1769 0
specific 0 1733 294 0
room 139 808 1080 0
shadow 81 1207 720 12
viewport 121 1531 355 10
serial 0 1499 517 0
definitions 0 329 1685 0
using 0 1986 15 0
sets 0 302 1695 0
finish 0 764 1232 0
uid 17 204 1745 19
specification 0 540 1428 17
acf 0 13 1969 0
caption 17 620 1319 15
major 0 1541 419 0
mappings 0 185 1773 0
goto 1118 375 220 240
rgb 82 617 1207 44
idx 71 198 1680 0
ri 26 1740 175 0
browser 0 978 959 0
packages 0 118 1818 0
radius 0 345 1589 0
authentication 0 1043 886 0
unicode 310 1059 486 70
